Promt P,Promt N,Workflow,Count
"Photo of two minimalist white ceramic mugs placed closely together on a bright wooden table during soft morning sunlight, captured with a Nikon Z7 II camera and a 50mm f/2 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps the mugs sharply in focus while softly blurring the clean, modern kitchen background. The composition should follow the rule of thirds, positioning the mugs slightly to the left with negative space on the right for commercial copy. Adjust the shutter speed to 1/160 to maintain sharpness and natural lighting balance. Set the white balance to warm tones to enhance the cozy morning ambiance. Use gentle highlights from the left-side sunlight and soft shadows falling to the right to add dimension and enhance the clean, premium feel.",,Flux_16:9,2
"Portrait photo of a woman wrapped in a soft beige knitted blanket, sitting comfortably on a light gray sofa and looking out through a rainy window on a calm cloudy morning, captured with a Sony A7 III camera and an 85mm f/1.8 lens. Set the aperture to f/2.0 for a shallow depth of field, keeping the woman’s profile, hair texture, and the white ceramic mug in sharp focus while the raindrops on the window form a gentle bokeh in the background. The composition should be eye-level from slightly behind, with a medium framing that emphasizes her upper body and the mug, preserving privacy by showing her face only in side-back view. Adjust the shutter speed to 1/125 to ensure stable sharpness in the cozy indoor setting. Set the white balance to warm tones to enhance the contrast between the chilly outdoors and the warm, relaxing interior. Subtle highlights on her hair and mug along with soft shadows around the blanket and sofa add intimate depth and a peaceful self-care atmosphere.",,Flux_16:9,2
"Flatlay photo of a cozy hot chocolate and reading setup on a chunky knit cream blanket during soft window light, captured with a Canon EOS R6 camera and a 35mm f/1.8 lens. Set the aperture to f/3.2 for a controlled shallow depth of field that keeps the mug, open book, and eyeglasses sharply detailed while maintaining a soft, warm background texture. The composition should be perfectly top-down (90°), placing the white ceramic mug with whipped cream on the left rule-of-thirds point, the open hardcover book slightly lower on the right, and thin-metal-frame eyeglasses resting naturally on the upper edge of the book. Adjust the shutter speed to 1/160 to ensure crisp detail in all objects. Set the white balance to warm tones to reinforce a cozy autumn/winter mood. Gentle highlights on the whipped cream and eyeglass lenses and soft shadows across the knitted blanket add depth and a calming, self-care storytelling atmosphere.",,Flux_16:9,2
"Portrait photo of a woman holding a modern white rectangular SAD therapy light box in a clean bedroom interior during bright indoor lighting, captured with a Canon EOS R5 camera and an 85mm f/1.8 lens. Set the aperture to f/2.2 for a shallow depth of field, keeping her hands, the light device, and a partial side view of her face sharply focused while softly blurring the neutral background. The composition should be a medium close-up at eye level, with the bright key light emitted from the device illuminating her face and hands. Adjust the shutter speed to 1/200 to maintain sharpness while balancing the intense device light and soft window fill light. Set the white balance to neutral-warm tones to emphasize a calm wellness atmosphere. Soft shadows and gentle highlights add depth and support a soothing self-care narrative.",,Flux_16:9,2
"Photo of a female doctor performing a manual blood pressure check on a male patient in a clean modern clinic during soft clinical lighting, captured with a Nikon Z7 II camera and a 50mm f/2.8 lens. Set the aperture to f/3.5 for a controlled shallow depth of field, keeping the doctor’s hands, the aneroid sphygmomanometer gauge, and the stethoscope on the patient’s arm in sharp focus while gently blurring the medical background. The composition should be an eye-level medium shot centered on the interaction, with both the doctor’s and patient’s faces visible but secondary to the procedure. Adjust the shutter speed to 1/200 for crisp clarity of hand movements. Set the white balance to neutral for a clean clinical tone. Subtle highlights on the chrome gauge and medical equipment, along with soft shadows, reinforce a professional and trustworthy preventative healthcare setting.",,Flux_16:9,2
"Portrait photo of a senior man stretching on a clean pedestrian path in a green city park during soft morning golden hour, captured with a Nikon Z7 II camera and a 35mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps the subject sharp while softly blurring the lush trees behind him. The composition should focus on the rule of thirds, placing the man slightly to the right with negative space on the left for commercial copy. Adjust the shutter speed to 1/320 to ensure crisp detail in his stretching motion. Set the white balance to warm tones to enhance the golden morning atmosphere. Gentle rim lighting on his hair and body edges and soft natural shadows can be used to add depth and emphasize a healthy, active senior lifestyle.",,Flux_16:9,2
"Photo of an active man cycling on a designated bike lane in a modern urban area during soft morning daylight, captured with a Sony A7R IV camera and a 35mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps the cyclist sharply focused from the back while softly blurring the background buildings and trees. The composition should focus on the rule of thirds, placing the subject slightly to the left with the bike lane creating leading lines toward the horizon and negative space on the right for commercial copy. Adjust the shutter speed to 1/500 to freeze motion and maintain clarity. Set the white balance to neutral-warm tones to retain a fresh morning atmosphere. Gentle rim lighting along the helmet and shoulders and soft shadows under the bike can be used to enhance depth and emphasize a healthy, sustainable commuting lifestyle.",,Flux_16:9,2
"Photo of a visually impaired man confidently navigating a clean city sidewalk using a white cane in soft morning natural light, captured with a Canon EOS R5 camera and a 35mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field, keeping the man and the yellow guiding block sharply focused while softly blurring the modern urban background. The composition should follow the rule of thirds, positioning the subject slightly to the right with the guiding block creating leading lines toward the direction of movement and negative space on the left for commercial copy. Adjust the shutter speed to 1/400 to ensure sharpness in his walking motion. Set the white balance to neutral-warm tones for a clean and positive city atmosphere. Soft shadows and gentle rim lighting can be used to add depth and emphasize accessibility, independence, and inclusive mobility.",,Flux_16:9,2
"Photo of an active couple walking hand-in-hand in a green city park during soft morning golden hour, captured with a Sony A7R IV camera and a 35mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps both subjects sharply focused while softly blurring the trees and pathway behind them. The composition should be a slightly low-angle medium full-body shot following the rule of thirds, placing the couple slightly to the right with ample negative space on the left for commercial copy. Adjust the shutter speed to 1/400 to ensure crisp clarity in their synchronized walking motion. Set the white balance to warm tones to enhance the golden highlights on hair and edges of their bodies. Natural shadows and gentle rim lighting can add depth and reinforce a fresh, healthy, and harmonious active lifestyle atmosphere.",,Flux_16:9,2
"Photo of three young students focused on learning in a simple rural classroom with soft natural window light, captured with a Nikon Z6 II camera and a 35mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps the children and their notebooks sharp while softly blurring the background. The composition should focus on the rule of thirds, using a slightly elevated side-rear angle to show their attention directed toward the whiteboard. Adjust the shutter speed to 1/200 to preserve clarity in subtle writing movements. Set the white balance to neutral for clean and authentic classroom colors. Soft highlights on faces and uniforms, along with minimal shadows, can be used to enhance a positive and inclusive educational storytelling atmosphere.",,Flux_16:9,2
"Photo of a friendly futuristic office reception robot standing on a clean white desk in soft corporate indoor lighting, captured with a Canon EOS R5 camera and a 50mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps the robot sharp while softly blurring the modern glass-lined lobby background. The composition should focus on the rule of thirds, placing the robot slightly to the left with negative space on the right for commercial copy. Adjust the shutter speed to 1/200 to maintain crisp detail in the robot’s welcoming hand gesture. Set the white balance to neutral for a clean professional look. Soft highlights on the robot’s edges and subtle reflections on the glossy reception desk can be used to add depth and reinforce a premium high-tech corporate atmosphere.",,Flux_16:9,2
"Photo of a professional woman using a VR/AR headset for collaborative work in a modern office under soft mixed lighting, captured with a Sony A7R IV camera and a 35mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps the VR user, her interactive hand gestures, and the nearby colleague sharply focused while softly blurring the futuristic office background. The composition should follow the rule of thirds, placing the VR user on the left and the colleague viewing the ultrawide monitor on the right to emphasize digital collaboration. Adjust the shutter speed to 1/200 to ensure clarity of subtle movements. Set the white balance to neutral with a slight cool tone to complement the tech environment. Soft highlights on the headset and gentle shadows from screen lighting can be used to add depth and a premium immersive workplace atmosphere.",,Flux_16:9,2
"Photo of a professional male software developer working at a multi-monitor AI coding setup in soft mixed office lighting, captured with a Canon EOS R6 camera and a 35mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps the developer’s hands on the keyboard and the monitors in sharp focus while softly blurring the background workspace. The composition should focus on the rule of thirds from a ¾ rear-side angle, placing the subject slightly to the right with a clean area of negative space on the left. Adjust the shutter speed to 1/200 to ensure clarity during typing motion. Set the white balance to neutral-cool tones to complement the futuristic blue-cyan monitor light. Soft highlights from the desk lamp and subtle monitor reflections can be used to add depth and emphasize a high-tech, innovative coding environment.",,Flux_16:9,2
"Photo of a local bakery seller arranging fresh pastries inside a glass display under soft warm indoor lighting, captured with a Canon EOS R5 camera and a 50mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps her hands, the pastries, and the stainless-steel tongs in crisp focus while softly blurring the cozy bakery background. The composition should focus on the rule of thirds, placing the seller slightly to the right and the pastries on the left side of the frame. Adjust the shutter speed to 1/200 to ensure sharpness during her precise hand movements. Set the white balance to warm tones to enhance the fresh golden texture of the pastries. Soft reflections on the glass display and gentle shadows can be used to add depth and emphasize a clean, appetizing small business environment.",,Flux_16:9,2
"Flatlay photo of a clean eating low-fat meal arranged on a bright wooden table during soft natural daylight, captured with a Canon EOS R6 camera and a 50mm f/2.8 macro lens. Set the aperture to f/4.0 to ensure the grilled white fish fillet, fresh green vegetables, and almond bowl remain crisp and detailed, while keeping the background softly unobtrusive. The composition should be a perfectly top-down 90° shot: the white ceramic plate positioned on the left rule-of-thirds point, a small white bowl of almonds in the upper right, and a glass of mineral water with subtle condensation in the lower right. Stainless steel cutlery should be neatly aligned on the right side of the plate, and a folded white linen napkin adds a clean premium touch. Adjust the shutter speed to 1/160 for sharpness. Set the white balance to neutral-warm tones to enhance the freshness of greens and the golden-brown texture of the fish. Soft highlights from the left and gentle shadows create appetizing depth and a hygienic, modern nutrition lifestyle aesthetic.",,Flux_16:9,2
"Photo of a skilled woodworker cutting a wooden board with a handheld circular saw in a small, organized workshop under warm industrial lighting, captured with a Nikon Z7 II camera and a 35mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps his hands, the tool, and the board sharply focused while softly blurring the background of shelves and tools. The composition should focus on the rule of thirds from a ¾ front-left angle, placing the subject slightly to the left with the workspace extending to the right. Adjust the shutter speed to 1/500 to freeze motion and capture the fine wood dust particles. Set the white balance to warm tones to complement the natural wood textures and workshop atmosphere. Soft shadows and subtle highlights on the board edges and airborne sawdust can be used to add depth and emphasize hands-on craftsmanship.",,Flux_16:9,2
"Photo of a creative product photographer working in a small artisanal studio under soft mixed lighting, captured with a Sony A7 III camera and a 50mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps the woman, her camera, and the handmade product in sharp focus while softly blurring the studio background. The composition should follow the rule of thirds, placing the photographer slightly to the right and the product table to the left to highlight their interaction. Adjust the shutter speed to 1/200 to ensure crisp detail during the shooting process. Set the white balance to neutral-warm tones to complement the clean, handcrafted aesthetic. Soft shadows on the tabletop and subtle highlights from the softbox and window light can be used to add depth and emphasize the professional yet cozy creative workspace atmosphere.",,Flux_16:9,2
"Photo of a man placing a transparent plastic bottle into a blue recycling bin with a clear white recycle symbol in bright soft indoor mall lighting, captured with a Canon EOS R6 camera and a 35mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field, keeping the hand, bottle, and bin sharply focused while softly blurring the modern shopping mall background. The composition should focus on the rule of thirds, placing the recycling action on the left side with clean negative space on the right for environmental campaign messaging. Adjust the shutter speed to 1/200 to ensure sharpness during the motion. Set the white balance to neutral for clean and trustworthy color tones. Soft reflections on the glossy bin and subtle highlights on the clear plastic bottle can be used to add depth and reinforce the clean eco-friendly visual narrative.",,Flux_16:9,2
"Photo of modern residential solar panels installed on a minimalist dark roof under bright midday sunlight, captured with a Nikon Z7 II camera and a 24mm f/2.8 lens. Set the aperture to f/8 for a wide depth of field, ensuring the photovoltaic texture and aluminum frame remain sharp while maintaining clarity in the clean blue sky. The composition should focus on a dramatic low-angle rule of thirds, with the panels dominating the upper-left frame and leading lines directing upward toward the sky, leaving ample negative space for commercial copy. Adjust the shutter speed to 1/500 to preserve crisp detail under strong sunlight. Set the white balance to daylight to maintain natural blue and metallic tones. Strong highlights on the glass surface and defined shadows beneath the panels can be used to emphasize high-tech engineering and clean energy innovation.",,Flux_16:9,2
"Landscape photo of multiple white wind turbines on expansive green hills under bright clear midday sunlight, captured with a Sony A7R IV camera and a 24-70mm f/2.8 lens. Set the aperture to f/10 for a wide depth of field, ensuring the turbines and grassy terrain remain sharp from foreground to horizon. The composition should follow the rule of thirds, with the sky filling the upper two-thirds and the rolling hills with turbines occupying the lower third, using the natural contours as leading lines. Adjust the shutter speed to 1/500 to maintain crisp detail in the bright outdoor conditions. Set the white balance to daylight to preserve clean sky blues, vivid greens, and bright white turbine structures. Strong highlights and defined shadows can be used to emphasize scale, depth, and the forward-looking narrative of renewable energy.",,Flux_16:9,2
"Photo of a woman carrying a reusable cream-colored shopping bag filled with fresh vegetables on a sidewalk near a local market in soft natural morning light, captured with a Canon EOS R5 camera and a 35mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps the woman and fresh produce sharp while softly blurring the market background. The composition should focus on the rule of thirds, placing the subject slightly to the left with clean negative space on the right for commercial copy. Adjust the shutter speed to 1/250 to ensure sharpness while walking. Set the white balance to neutral-warm tones to enhance the fresh, healthy lifestyle atmosphere. Gentle highlights on the leafy greens and soft shadows can be used to add depth and emphasize the sustainable grocery narrative.",,Flux_16:9,2
"Photo of fresh urban balcony crops including basil, leafy lettuce, cherry tomatoes, and green herbs in modern neutral pots under soft natural morning light, captured with a Sony A7 III camera and a 50mm f/2.8 macro lens. Set the aperture to f/4.0 for a balanced depth of field that keeps the plants crisp and detailed while softly blurring the distant city skyline. The composition should focus on the rule of thirds, placing the main pots toward the left with clean negative space on the right for commercial copy. Adjust the shutter speed to 1/160 to ensure sharp clarity of leaves and stems. Set the white balance to neutral-warm tones to enhance the vibrant greens and fresh home-grown aesthetic. Gentle highlights on the leaves and soft shadows on the balcony surface can be used to add depth and emphasize the sustainable small-space gardening story.",,Flux_16:9,2
"Photo of clean adult hands turning on a modern stainless-steel faucet with clear water flowing into the right palm in soft natural side light, captured with a Canon EOS R6 camera and a 50mm f/1.8 lens. Set the aperture to f/3.2 for a shallow depth of field that keeps the hands, faucet handle, and water stream sharp while softly blurring the clean white background. The composition should focus on the rule of thirds, positioning the faucet handle in the upper left and the flowing water with open hand centered. Adjust the shutter speed to 1/400 to freeze water droplets with crisp detail. Set the white balance to neutral for hygienic, accurate tones. Subtle reflections on chrome and gentle shadows can be used to add depth and reinforce a premium, health-focused cleanliness message.",,Flux_16:9,2
"Photo of a young boy drinking from a reusable transparent water bottle in bright natural daylight at a clean city park, captured with a Nikon Z6 II camera and a 50mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps the boy’s face and bottle sharp while softly blurring the green park background. The composition should focus on the rule of thirds, placing the child slightly to the right with negative space on the left for commercial messaging. Adjust the shutter speed to 1/250 to ensure clear detail during the drinking motion. Set the white balance to neutral-warm tones for a fresh and healthy outdoor atmosphere. Soft highlights on the transparent bottle and gentle shadows can be used to add depth and emphasize the clean hydration lifestyle.",,Flux_16:9,2
"Photo of a single water droplet hanging from the tip of a modern chrome faucet in focused directional lighting, captured with a Canon EOS R5 camera and a 100mm f/2.8 macro lens. Set the aperture to f/4.0 for extremely shallow depth of field that isolates the droplet and faucet edge while keeping the solid black background completely smooth. The composition should focus on the rule of thirds, positioning the droplet at the upper-right intersection point with a ¾ angled view of the faucet. Adjust the shutter speed to 1/500 to freeze the droplet with perfect clarity. Set the white balance to neutral for accurate chrome and water reflections. Strong highlights and subtle rim lighting can be used to define the droplet’s shape, enhance surface tension texture, and separate the metal edges from the background.",,Flux_16:9,2
"Landscape photo of a calm freshwater lake with a perfect mirror reflection of a clear blue sky during soft golden hour light, captured with a Nikon Z7 II camera and a 24-70mm f/2.8 lens. Set the aperture to f/11 for a wide depth of field that keeps the shoreline, distant trees, and reflection sharply detailed. The composition should focus on symmetry by placing the horizon at the center, with leading lines from the lakeshore guiding the eye toward the horizon. Adjust the shutter speed to 1/200 to maintain crisp sharpness. Set the white balance to warm tones to enhance the golden highlights on the trees and grass. Gentle shadows and clean reflections can be used to add depth and emphasize the pristine, peaceful natural environment.",,Flux_16:9,2
"Photo of clean water flowing from a simple outdoor metal faucet into a blue plastic bucket in bright natural morning light, captured with a Canon EOS R6 camera and a 35mm f/2 lens. Set the aperture to f/3.5 for a shallow depth of field that keeps the faucet, water stream, and bucket in sharp focus while softly blurring the rural background. The composition should focus on the rule of thirds, placing the faucet in the upper left and the bucket centered below to emphasize water access. Adjust the shutter speed to 1/400 to freeze the splashing droplets with clarity. Set the white balance to neutral-warm tones for a clean and positive atmosphere. Soft highlights on the water and gentle shadows on the ground can be used to add depth and reinforce the narrative of clean and accessible rural water supply.",,Flux_16:9,2
"Photo of three fresh herbal plants—mint, rosemary, and lavender—growing in modern minimalist pots on a natural wooden table in soft daylight, captured with a Sony A7 III camera and a 50mm f/2.8 macro lens. Set the aperture to f/4.0 for a balanced shallow depth of field that keeps the herbs crisp and detailed while softly blurring the cozy background. The composition should focus on the rule of thirds, placing lavender in the upper left, rosemary in the upper right, and mint in the center foreground. Adjust the shutter speed to 1/160 to maintain sharpness. Set the white balance to neutral-warm tones to enhance the fresh green and soft purple hues. Gentle highlights and soft shadows can be used to add depth and emphasize the clean, wellness-focused aesthetic.",,Flux_16:9,2
"Photo of clean adult hands holding freshly harvested herbal leaves in soft natural daylight, captured with a Canon EOS R6 camera and a 50mm f/2.8 macro lens. Set the aperture to f/3.2 for a shallow depth of field that keeps the mint, basil, and rosemary leaves in crisp focus while softly blurring the garden background. The composition should focus on the rule of thirds with the hands and herbs positioned toward the upper center of the frame at a slight top-down angle. Adjust the shutter speed to 1/200 to ensure sharpness in fine leaf details. Set the white balance to neutral-warm tones for natural green color rendering. Gentle highlights and subtle shadows can be used to add depth and emphasize the fresh, organic gardening wellness aesthetic.",,Flux_16:9,2
"Photo of a solo hiker walking along a forest trail from a rear view in soft natural morning light, captured with a Sony A7R IV camera and a 35mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that emphasizes the hiker and the trekking path while gently blurring the trees ahead. The composition should focus on the rule of thirds, placing the hiker slightly to the right with the trail serving as leading lines into the distance. Adjust the shutter speed to 1/400 to maintain sharpness during the walking motion. Set the white balance to neutral-warm tones to enhance the fresh forest atmosphere. Soft highlights filtering through the canopy and subtle shadows can be used to add depth and convey a healthy, adventurous outdoor lifestyle.",,Flux_16:9,2
"Photo of a balanced meal consisting of grilled protein, fresh green vegetables, and complex carbs on a bright wooden dining table in soft natural side lighting, captured with a Canon EOS R6 camera and a 50mm f/2.8 macro lens. Set the aperture to f/4.0 for a controlled shallow depth of field that keeps the food textures crisp while softly blurring the clean kitchen background. The composition should focus on the rule of thirds, placing the plate slightly to the right with negative space on the left for commercial copy. Adjust the shutter speed to 1/160 to ensure sharp details in all food elements. Set the white balance to neutral-warm tones to enhance the natural colors of the ingredients. Soft highlights on the vegetables and gentle shadows under the plate can be used to add depth and emphasize a healthy, premium nutrition lifestyle.",,Flux_16:9,2
"Flat lay food photo of a healthy meal prep box line-up in soft natural daylight, captured with a Canon EOS R5 camera and a 35mm f/1.8 lens. Set the aperture to f/5.6 for a wide depth of field, ensuring all meal prep boxes are sharply in focus from front to back. The composition should be a perfect top-down 90° grid layout, filling the frame with three rows of neatly arranged containers, following precise symmetry and the rule of thirds for visual balance. Adjust the shutter speed to 1/200 to maintain crisp sharpness. Set the white balance to neutral for accurate and clean food colors. Soft shadows and subtle overhead highlights enhance the texture of fresh vegetables, grilled proteins, quinoa or brown rice, and colorful garnishes. Use a premium light oak wooden surface or white marble background, clean and brandless, with minimal accent props like a stainless knife or small sprigs of parsley at the frame edges to add context without distraction.",,Flux_16:9,2
"Food photo of a colorful fresh salad in a clear glass bowl under soft natural daylight, captured with a Sony A7R IV camera and a 50mm f/2.8 macro lens. Set the aperture to f/4 for a balanced depth of field that keeps all salad ingredients sharp and textured while subtly softening the background. The composition should be centered with a clean top-down or slightly angled 45° perspective, focusing on vibrant color contrast between green lettuce, red tomatoes, yellow bell peppers, shredded orange carrots, light green cucumber, and small avocado cubes. Adjust the shutter speed to 1/160 to ensure crisp detail. Set the white balance to neutral for clean and accurate tones. Use a white marble or light wood background for a premium kitchen ambiance, with a stainless steel fork placed neatly on the right side of the bowl to guide the viewer’s eye. Soft shadows and subtle highlights emphasize freshness and enhance the premium healthy lifestyle mood.",,Flux_16:9,2
"Drink photo of a vibrant green smoothie in soft natural daylight, captured with a Canon EOS R6 camera and a 50mm f/1.8 lens. Set the aperture to f/3.2 for a shallow depth of field, keeping the smoothie glass sharply in focus while maintaining a gentle background bokeh from a minimalist kitchen setting. The composition should be centered, with the tall transparent glass placed on a clean white marble or light concrete countertop, shot eye-level or slightly elevated at 45°. Adjust the shutter speed to 1/200 to ensure crisp detail. Set the white balance to neutral for accurate color tones. Subtle highlights on the glass surface and soft side-shadows add depth and emphasize the creamy texture. Include a few supporting ingredients like a green apple and a fresh spinach leaf positioned neatly beside the glass, without branding or text, to reinforce the premium healthy lifestyle narrative.",,Flux_16:9,2
